sample	condition	metric	subject	units	value
ZH01	B10_0hr_Control	intensity	ABA_153		1564.53
ZH02	B10_0hr_Control	intensity	ABA_153		1510.38
ZH03	B10_0hr_Control	intensity	ABA_153		1526.52
ZH04	B10_0hr_HD	intensity	ABA_153		1618.66
ZH05	B10_0hr_HD	intensity	ABA_153		1603.99
ZH06	B10_0hr_HD	intensity	ABA_153		1688.41
ZH07	B10_24hr_Control	intensity	ABA_153		1209.39
ZH08	B10_24hr_Control	intensity	ABA_153		1234.89
ZH09	B10_24hr_Control	intensity	ABA_153		1375.76
ZH10	B10_24hr_HD	intensity	ABA_153		1919.37
ZH11	B10_24hr_HD	intensity	ABA_153		1883.27
ZH12	B10_24hr_HD	intensity	ABA_153		2078.67
ZH13	B11_0hr_Control	intensity	ABA_153		1549.63
ZH14	B11_0hr_Control	intensity	ABA_153		1436.01
ZH15	B11_0hr_Control	intensity	ABA_153		1540.26
ZH16	B11_0hr_HD	intensity	ABA_153		2254.25
ZH17	B11_0hr_HD	intensity	ABA_153		2261.84
ZH18	B11_0hr_HD	intensity	ABA_153		2339.43
ZH19	B11_24hr_Control	intensity	ABA_153		1470.17
ZH20	B11_24hr_Control	intensity	ABA_153		1356.19
ZH21	B11_24hr_Control	intensity	ABA_153		1837.29
ZH22	B11_24hr_HD	intensity	ABA_153		3210.82
ZH23	B11_24hr_HD	intensity	ABA_153		3959.33
ZH24	B11_24hr_HD	intensity	ABA_153		4077.16
ZH01	B10_0hr_Control	intensity	SA_93		11135.58
ZH02	B10_0hr_Control	intensity	SA_93		10983.43
ZH03	B10_0hr_Control	intensity	SA_93		5946.61
ZH04	B10_0hr_HD	intensity	SA_93		20731.23
ZH05	B10_0hr_HD	intensity	SA_93		20738.32
ZH06	B10_0hr_HD	intensity	SA_93		19295.93
ZH07	B10_24hr_Control	intensity	SA_93		10637.46
ZH08	B10_24hr_Control	intensity	SA_93		16596.99
ZH09	B10_24hr_Control	intensity	SA_93		12628.23
ZH10	B10_24hr_HD	intensity	SA_93		9478.04
ZH11	B10_24hr_HD	intensity	SA_93		7877.7
ZH12	B10_24hr_HD	intensity	SA_93		7889.28
ZH13	B11_0hr_Control	intensity	SA_93		23881.92
ZH14	B11_0hr_Control	intensity	SA_93		21570.56
ZH15	B11_0hr_Control	intensity	SA_93		16291.68
ZH16	B11_0hr_HD	intensity	SA_93		20900.26
ZH17	B11_0hr_HD	intensity	SA_93		20524.69
ZH18	B11_0hr_HD	intensity	SA_93		25518.83
ZH19	B11_24hr_Control	intensity	SA_93		11521.96
ZH20	B11_24hr_Control	intensity	SA_93		10989.06
ZH21	B11_24hr_Control	intensity	SA_93		24294.33
ZH22	B11_24hr_HD	intensity	SA_93		6520.22
ZH23	B11_24hr_HD	intensity	SA_93		6437.58
ZH24	B11_24hr_HD	intensity	SA_93		8012.72
ZH01	B10_0hr_Control	intensity	Peak_Uknw		10515.29
ZH02	B10_0hr_Control	intensity	Peak_Uknw		8971.95
ZH03	B10_0hr_Control	intensity	Peak_Uknw		10781.41
ZH04	B10_0hr_HD	intensity	Peak_Uknw		8864.5
ZH05	B10_0hr_HD	intensity	Peak_Uknw		13546.73
ZH06	B10_0hr_HD	intensity	Peak_Uknw		11243.39
ZH07	B10_24hr_Control	intensity	Peak_Uknw		10684.49
ZH08	B10_24hr_Control	intensity	Peak_Uknw		9663.71
ZH09	B10_24hr_Control	intensity	Peak_Uknw		8765.76
ZH10	B10_24hr_HD	intensity	Peak_Uknw		15959.79
ZH11	B10_24hr_HD	intensity	Peak_Uknw		16570.3
ZH12	B10_24hr_HD	intensity	Peak_Uknw		16795.73
ZH13	B11_0hr_Control	intensity	Peak_Uknw		8298.82
ZH14	B11_0hr_Control	intensity	Peak_Uknw		6570.69
ZH15	B11_0hr_Control	intensity	Peak_Uknw		8874.7
ZH16	B11_0hr_HD	intensity	Peak_Uknw		8039.22
ZH17	B11_0hr_HD	intensity	Peak_Uknw		7106.57
ZH18	B11_0hr_HD	intensity	Peak_Uknw		7025.32
ZH19	B11_24hr_Control	intensity	Peak_Uknw		13145.56
ZH20	B11_24hr_Control	intensity	Peak_Uknw		7824.87
ZH21	B11_24hr_Control	intensity	Peak_Uknw		8615.4
ZH22	B11_24hr_HD	intensity	Peak_Uknw		12921.06
ZH23	B11_24hr_HD	intensity	Peak_Uknw		12638.35
